location;model;prediction_window;mae;rmse
HU;seasonal_naive;4_week;778,4565270465354;911,2696319381049
HU;naive;1_week;295,04373931884766;382,0175815950226
HU;naive;2_week;490,71290637600805;590,9382081704999
HU;naive;3_week;634,3766764322917;722,6222706264851
HU;naive;4_week;692,1689705684267;798,8155315019916
CZ;seasonal_naive;1_week;151,97169465838738;219,34536285917923
CZ;seasonal_naive;2_week;227,43541463216147;295,2270785583093
CZ;seasonal_naive;3_week;238,5173910389776;301,8235609244859
CZ;seasonal_naive;4_week;232,60682262073863;287,12767046522185
CZ;naive;1_week;86,6188699974204;131,79996840333789
CZ;naive;2_week;142,40384732759915;191,08115842954044
CZ;naive;3_week;189,69804472081802;239,11072796982452
CZ;naive;4_week;227,0120068359375;280,8331082659533
SI;seasonal_naive;1_week;344,6018935869325;460,3219997147926
SI;seasonal_naive;2_week;429,3479200998942;542,3491701612311
SI;seasonal_naive;3_week;423,83695851201594;554,0768378252587
SI;seasonal_naive;4_week;416,02954309636897;553,2467122955753
SI;naive;1_week;221,70564932193398;305,32793577636966
SI;naive;2_week;337,82500516451324;422,37707202808315
SI;naive;3_week;412,1176518458946;522,434302104547
SI;naive;4_week;463,5680029296875;595,1485626783937
LU;seasonal_naive;1_week;4043,396226415094;5349,572368732092
LU;seasonal_naive;2_week;5283,333333333333;7005,355094497352
LU;seasonal_naive;3_week;5039,130434782609;7077,551775185737
LU;seasonal_naive;4_week;4945,454545454545;6579,306401686482
LU;naive;1_week;4294,33962264151;5758,406488171781
LU;naive;2_week;4607,692307692308;6950,705553561285
LU;naive;3_week;4821,568627450981;6595,051620901306
LU;naive;4_week;5194,0;6924,146156747415
EE;seasonal_naive;1_week;65,69534905012264;86,12795395387334
EE;seasonal_naive;2_week;108,67222309112549;134,59953758427375
EE;seasonal_naive;3_week;113,4764700496898;136,98065437728073
EE;seasonal_naive;4_week;112,04545477664831;133,67990571640104
EE;naive;1_week;38,04889017740886;55,10080848760807
EE;naive;2_week;50,59545621004972;76,33921632437988
EE;naive;3_week;67,71628091501636;95,04855244605099
EE;naive;4_week;79,3357166108631;112,33543849592326
BG;seasonal_naive;1_week;135,59600006103517;166,58459220892544
BG;seasonal_naive;2_week;305,0431854941628;417,92970759616617
BG;seasonal_naive;3_week;327,4142844790504;443,0331601625901
BG;seasonal_naive;4_week;353,58749771118164;461,9613840168074
BG;naive;1_week;114,91372979856006;180,730087514299
BG;naive;2_week;173,67200317382813;267,27694940501806
BG;naive;3_week;210,33061623086735;317,1637697854812
BG;naive;4_week;250,3395856221517;374,7088681471583
RO;seasonal_naive;1_week;132,39166704813638;159,7265756480491
RO;seasonal_naive;2_week;176,7219550900343;240,97347528579576
RO;seasonal_naive;3_week;193,16410945012018;255,91676103479176
RO;seasonal_naive;4_week;201,48649143528294;263,3353182230945
RO;naive;1_week;103,03461632361778;137,56369710673093
RO;naive;2_week;148,87255141314338;199,79925481995946
RO;naive;3_week;165,66400634765625;218,7987419677512
RO;naive;4_week;176,32040965800383;225,87200716772358
LV;seasonal_naive;1_week;13074,196876525879;34812,044006595665
LV;seasonal_naive;2_week;15306,05924931279;37808,057788552855
LV;seasonal_naive;3_week;20370,803984375;43910,1847432793
LV;seasonal_naive;4_week;22070,22608483356;45735,42410215989
LV;naive;1_week;6084,448478929924;24318,58369015617
LV;naive;2_week;12485,003112792969;34920,220791010215
LV;naive;3_week;16115,403217930947;39693,59201218753
LV;naive;4_week;19961,39665934245;44206,02095545401
BE;seasonal_naive;1_week;215,86036826079746;266,3120214048992
BE;seasonal_naive;2_week;300,0895773569743;391,1272607907279
BE;seasonal_naive;3_week;316,51086890179175;408,1889705767082
BE;seasonal_naive;4_week;340,24545634876597;412,4662434638864
BE;naive;1_week;151,97358789983787;189,33005850136925
BE;naive;2_week;202,60577040452225;257,808610562975
BE;naive;3_week;240,41960951861213;308,30099351797077
BE;naive;4_week;287,427998046875;357,933802417996
LT;seasonal_naive;1_week;272,4307644183819;345,270100712449
LT;seasonal_naive;2_week;381,4804335884426;452,5586386177986
LT;seasonal_naive;3_week;353,89772657914597;440,7602803873369
LT;seasonal_naive;4_week;311,2238086518787;399,4198152528807
LT;naive;1_week;114,76604073002653;165,09501758922877
LT;naive;2_week;188,42307809682993;237,2000427291607
LT;naive;3_week;230,86470420687806;287,87060965438116
LT;naive;4_week;261,0260070800781;331,10190225721414
DE;seasonal_naive;1_week;287,4754730800413;357,2885239466195
DE;seasonal_naive;2_week;490,82915751139325;632,7788878586244
DE;seasonal_naive;3_week;521,4086860988451;653,1711292737477
DE;seasonal_naive;4_week;517,3272705078125;647,0626326530922
DE;naive;1_week;178,26037827977595;272,22876360098746
DE;naive;2_week;248,40191885141226;351,0505076840363
DE;naive;3_week;314,18627211626836;395,7614401568608
DE;naive;4_week;378,72999267578126;456,65595898067465
FR;seasonal_naive;1_week;59,212821373572716;90,16229267394144
FR;seasonal_naive;2_week;111,30294036865234;129,62702450328962
FR;seasonal_naive;3_week;106,41250038146973;126,93466045004132
FR;seasonal_naive;4_week;92,33666737874348;116,7227722427733
FR;naive;1_week;33,76922920422676;46,21632899784407
FR;naive;2_week;63,28683953536184;79,04537912065966
FR;naive;3_week;87,654052734375;108,1132692073095
FR;naive;4_week;107,18888643052843;128,71513917191095
ES;seasonal_naive;1_week;191,50755022156915;247,55273776164927
ES;seasonal_naive;2_week;196,00208568572998;244,14924518763675
ES;seasonal_naive;3_week;207,539132491402;259,22814429683467
ES;seasonal_naive;4_week;221,23636800592595;276,6659449167837
ES;naive;1_week;48,7471762603184;71,06211666468242
ES;naive;2_week;68,30577263465294;103,15680704493342
ES;naive;3_week;94,38431564031863;134,0596463604955
ES;naive;4_week;122,96600158691406;161,90436905147706
HU;seasonal_naive;1_week;218,42188262939453;259,0734426529588
HU;seasonal_naive;2_week;770,2629665798611;863,0402755559171
HU;seasonal_naive;3_week;827,936005859375;927,7260610898034
HU;seasonal_naive;4_week;778,4565270465354;911,2696319381049
HU;naive;1_week;295,04373931884766;382,0175815950226
HU;naive;2_week;490,71290637600805;590,9382081704999
HU;naive;3_week;634,3766764322917;722,6222706264851
HU;naive;4_week;692,1689705684267;798,8155315019916
