location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
HU;2023-W41;139,8;76,96898;20,033998;9,948286;1;213,1999969482422;213,1999969482422;213,1999969482422;213,1999969482422
HU;2023-W42;153,0;74,76332;18,905428;9,076857;1;139,8000030517578;139,8000030517578;139,8000030517578;139,8000030517578
HU;2023-W43;140,2;82,33836;18,74114;10,7982855;1;153,0;153,0;153,0;153,0
HU;2023-W44;110,8;77,56312;15,855428;7,6268573;1;140,1999969482422;140,1999969482422;140,1999969482422;140,1999969482422
HU;2023-W45;160,2;81,950424;10,7982855;4,0625715;1;110,80000305175781;110,80000305175781;110,80000305175781;110,80000305175781
HU;2023-W46;195,3;80,22887;10,655428;4,098286;1;160,1999969482422;160,1999969482422;160,1999969482422;160,1999969482422
HU;2023-W47;237,7;80,83712;6,7482862;-0,30885717;1;195,3000030517578;195,3000030517578;195,3000030517578;195,3000030517578
HU;2023-W48;298,6;86,13961;2,8554287;-2,116;1;237,6999969482422;237,6999969482422;237,6999969482422;237,6999969482422
HU;2023-W49;320,9;91,66205;1,6911428;-2,066;1;298,6000061035156;298,6000061035156;298,6000061035156;298,6000061035156
HU;2023-W50;414,6;90,61055;7,091143;-0,34457144;1;320,8999938964844;320,8999938964844;320,8999938964844;320,8999938964844
HU;2023-W51;347,7;87,08958;6,505429;0,59828573;1;414,6000061035156;414,6000061035156;414,6000061035156;414,6000061035156
HU;2024-W01;221,7;83,96607;8,162572;1,734;1;347,70001220703125;347,70001220703125;347,70001220703125;347,70001220703125
HU;2024-W02;256,4;67,43638;2,784;-5,294571;1;221,6999969482422;221,6999969482422;221,6999969482422;221,6999969482422
HU;2024-W03;296,0;77,32908;3,884;-3,8802855;1;256,3999938964844;256,3999938964844;256,3999938964844;256,3999938964844
HU;2024-W04;381,0;76,349236;7,541143;-0,2588571;1;296,0;296,0;296,0;296,0
HU;2024-W05;488,8;79,04698;9,276857;1,6054286;1;381,0;381,0;381,0;381,0
HU;2024-W06;610,6;72,002396;14,026857;5,976857;1;488,79998779296875;488,79998779296875;488,79998779296875;488,79998779296875
HU;2024-W07;620,2;79,44901;10,898286;1,3054286;1;610,5999755859375;610,5999755859375;610,5999755859375;610,5999755859375
HU;2024-W08;579,6;79,53747;13,033999;5,534;1;620,2000122070312;620,2000122070312;620,2000122070312;620,2000122070312
HU;2024-W09;459,8;86,041855;14,619714;5,3268576;1;579,5999755859375;579,5999755859375;579,5999755859375;579,5999755859375
HU;2024-W10;385,5;80,56563;12,462571;4,634;1;459,79998779296875;459,79998779296875;459,79998779296875;459,79998779296875
HU;2024-W11;272,2;75,49358;13,176857;4,7197146;1;385,5;385,5;385,5;385,5
HU;2024-W12;240,9;67,86357;13,719714;2,784;1;272,20001220703125;272,20001220703125;272,20001220703125;272,20001220703125
HU;2024-W13;167,3;63,163612;20,11257;8,141143;1;240,89999389648438;240,89999389648438;240,89999389648438;240,89999389648438
HU;2024-W14;111,9;67,15984;20,71257;9,376857;1;167,3000030517578;167,3000030517578;167,3000030517578;167,3000030517578
HU;2024-W15;101,5;63,546978;23,934;10,926857;1;111,9000015258789;111,9000015258789;111,9000015258789;111,9000015258789
HU;2024-W16;95,1;69,27608;12,905429;3,941143;1;101,5;101,5;101,5;101,5
HU;2024-W17;87,0;73,01762;17,091143;5,319714;1;95,0999984741211;95,0999984741211;95,0999984741211;95,0999984741211
HU;2024-W18;67,2;65,05684;23,076857;11,891143;1;87,0;87,0;87,0;87,0
HU;2024-W19;66,3;62,4529;21,434;11,848287;1;67,19999694824219;67,19999694824219;67,19999694824219;67,19999694824219
HU;2024-W20;49,8;63,22109;22,30543;10,826858;1;66,30000305175781;66,30000305175781;66,30000305175781;66,30000305175781
HU;2024-W40;192,5;83,68218;14,541143;8,426857;0;49,79999923706055;49,79999923706055;49,79999923706055;49,79999923706055
HU;2024-W41;213,2;79,25637;19,500666;10,467334;0;192,5;192,5;192,5;192,5
