location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
NO;2023-W41;22,3;77,95943;11,087786;4,4163575;1;17,700000762939453;;;
NO;2023-W42;26,1;76,00124;6,1449285;1,7020714;1;21,899999618530273;21,899999618530273;;
NO;2023-W43;27,7;78,02345;2,966357;0,22350001;1;25,399999618530273;25,399999618530273;25,399999618530273;
NO;2023-W44;31,2;86,92773;3,366357;0,82350004;1;28,299999237060547;28,299999237060547;28,299999237060547;28,299999237060547
NO;2023-W45;36,3;90,52666;3,4806428;0,8163572;1;31,899999618530273;31,899999618530273;31,899999618530273;31,899999618530273
NO;2023-W46;37,7;75,79926;-1,2979286;-4,433643;1;34,0;34,0;34,0;34,0
NO;2023-W47;44,3;78,18244;1,3592142;-3,719357;1;40,599998474121094;40,599998474121094;40,599998474121094;40,599998474121094
NO;2023-W48;49,1;71,40936;-5,040786;-9,555071;1;46,099998474121094;46,099998474121094;46,099998474121094;46,099998474121094
NO;2023-W49;56,5;84,01214;-2,9979286;-5,7336426;1;65,5;65,5;65,5;65,5
NO;2023-W50;64,8;88,58727;-0,32650003;-7,105071;1;98,5999984741211;98,5999984741211;98,5999984741211;98,5999984741211
NO;2023-W51;63,3;84,78796;-2,2765;-8,312214;1;129,5;129,5;129,5;129,5
NO;2023-W52;32,9;84,93045;-3,289;-7,32025;1;102,4000015258789;102,4000015258789;102,4000015258789;102,4000015258789
NO;2024-W01;67,0;79,3312;-11,555071;-18,469357;1;187,8000030517578;187,8000030517578;187,8000030517578;187,8000030517578
NO;2024-W02;65,2;82,78524;-1,9050715;-10,312215;1;132,3000030517578;132,3000030517578;132,3000030517578;132,3000030517578
NO;2024-W03;60,7;82,875694;-5,212214;-13,519357;1;95,80000305175781;95,80000305175781;95,80000305175781;95,80000305175781
NO;2024-W04;62,4;87,277306;2,8235;-5,6479287;1;88,9000015258789;88,9000015258789;88,9000015258789;88,9000015258789
NO;2024-W05;57,8;79,73235;3,7806432;-6,1907854;1;86,30000305175781;86,30000305175781;86,30000305175781;86,30000305175781
NO;2024-W06;55,9;80,333496;-6,4265;-11,49793;1;82,5999984741211;82,5999984741211;82,5999984741211;82,5999984741211
NO;2024-W07;55,5;88,08753;0,93778574;-6,633643;1;77,69999694824219;77,69999694824219;77,69999694824219;77,69999694824219
NO;2024-W08;54,6;94,00957;3,1377857;-1,5979286;1;65,5999984741211;65,5999984741211;65,5999984741211;65,5999984741211
NO;2024-W09;51,0;93,9496;3,7877858;0,37350002;1;61,70000076293945;61,70000076293945;61,70000076293945;61,70000076293945
NO;2024-W10;40,9;81,552986;3,0020714;-3,3907857;1;61,5;61,5;61,5;61,5
NO;2024-W11;36,3;81,92236;4,216357;-1,8622142;1;65,4000015258789;65,4000015258789;65,4000015258789;65,4000015258789
NO;2024-W12;36,4;84,943375;6,030643;-0,29078573;1;71,19999694824219;71,19999694824219;71,19999694824219;71,19999694824219
NO;2024-W13;12,1;92,91366;7,259214;1,5092143;1;67,5;67,5;67,5;67,5
NO;2024-W14;23,1;74,25239;5,7020717;-0,28364292;1;25,299999237060547;25,299999237060547;25,299999237060547;25,299999237060547
NO;2024-W15;22,7;81,28297;12,673501;2,7377856;1;43,099998474121094;43,099998474121094;43,099998474121094;43,099998474121094
NO;2024-W16;19,7;61,96593;8,423501;-0,7050714;1;38,099998474121094;38,099998474121094;38,099998474121094;38,099998474121094
NO;2024-W17;18,4;75,79453;8,902072;1,7806429;1;32,20000076293945;32,20000076293945;32,20000076293945;32,20000076293945
