location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
BG;2023-W41;632,2;57,151237;22,582857;9,761429;1;656,9000244140625;656,9000244140625;656,9000244140625;656,9000244140625
BG;2023-W42;625,5;65,60366;21,618572;8,218572;1;632,2000122070312;632,2000122070312;632,2000122070312;632,2000122070312
BG;2023-W43;581,4;63,836773;23,697144;11,475715;1;625,5;625,5;625,5;625,5
BG;2023-W44;748,1;74,142334;18,46857;8,025714;1;581,4000244140625;581,4000244140625;581,4000244140625;581,4000244140625
BG;2023-W45;852,4;75,760185;13,182857;4,3828573;1;748,0999755859375;748,0999755859375;748,0999755859375;748,0999755859375
BG;2023-W46;874,1;72,59676;12,190001;2,897143;1;852,4000244140625;852,4000244140625;852,4000244140625;852,4000244140625
BG;2023-W47;1011,8;82,309685;7,897143;1,0614287;1;874,0999755859375;874,0999755859375;874,0999755859375;874,0999755859375
BG;2023-W48;996,8;80,94165;7,5685716;-1,0885714;1;1011,7999877929688;1011,7999877929688;1011,7999877929688;1011,7999877929688
BG;2023-W49;1030,0;83,951904;4,747143;-0,66714287;1;996,7999877929688;996,7999877929688;996,7999877929688;996,7999877929688
BG;2023-W50;1212,9;81,65342;7,997143;-0,25285712;1;1030,0;1030,0;1030,0;1030,0
BG;2023-W51;1033,2;70,330345;9,261429;-0,76000005;1;1212,9000244140625;1212,9000244140625;1212,9000244140625;1212,9000244140625
BG;2023-W52;498,2;67,7086;10,48375;0,59625;1;1033,199951171875;1033,199951171875;1033,199951171875;1033,199951171875
BG;2024-W01;1178,5;82,07655;9,332857;1,1899999;1;498,20001220703125;498,20001220703125;498,20001220703125;498,20001220703125
BG;2024-W02;1488,9;67,43877;3,1257145;-6,602857;1;1178,5;1178,5;1178,5;1178,5
BG;2024-W03;1593,8;75,38695;5,6185718;-3,3100002;1;1488,9000244140625;1488,9000244140625;1488,9000244140625;1488,9000244140625
BG;2024-W04;1972,0;72,277245;4,29;-3,6100001;1;1593,800048828125;1593,800048828125;1593,800048828125;1593,800048828125
BG;2024-W05;1771,5;61,17327;8,761428;-2,7885716;1;1972,0;1972,0;1972,0;1972,0
BG;2024-W06;1322,2;62,883873;15,447143;3,7828572;1;1771,5;1771,5;1771,5;1771,5
BG;2024-W07;1141,7;74,858345;9,511429;-0,0457143;1;1322,199951171875;1322,199951171875;1322,199951171875;1322,199951171875
